,ts,temp,new_point
223,2023-03-08T15:40:00+04:00 Dubai,24.421180725097656°C,41.32%
224,2023-03-08T15:45:00+04:00 Dubai,24.421180725097656°C,41.32%
225,2023-03-08T15:50:00+04:00 Dubai,24.421180725097656°C,41.32%
226,2023-03-08T15:55:00+04:00 Dubai,24.421180725097656°C,41.32%
227,2023-03-08T16:00:00+04:00 Dubai,24.421180725097656°C,40.02%
228,2023-03-08T16:05:00+04:00 Dubai,24.421180725097656°C,40.02%
229,2023-03-08T16:10:00+04:00 Dubai,24.421180725097656°C,38.95%
230,2023-03-08T16:15:00+04:00 Dubai,24.421180725097656°C,37.93%
231,2023-03-08T16:20:00+04:00 Dubai,24.421180725097656°C,37.93%
232,2023-03-08T16:25:00+04:00 Dubai,24.421180725097656°C,37.93%
233,2023-03-08T16:30:00+04:00 Dubai,24.421180725097656°C,37.93%
234,2023-03-08T16:35:00+04:00 Dubai,24.421180725097656°C,37.93%
235,2023-03-08T16:40:00+04:00 Dubai,24.421180725097656°C,37.93%
236,2023-03-08T16:45:00+04:00 Dubai,24.421180725097656°C,37.93%
237,2023-03-08T16:50:00+04:00 Dubai,24.421180725097656°C,37.93%
238,2023-03-08T16:55:00+04:00 Dubai,24.421180725097656°C,37.93%
239,2023-03-08T17:00:00+04:00 Dubai,24.421180725097656°C,37.93%
240,2023-03-08T17:05:00+04:00 Dubai,24.421180725097656°C,39.22%
241,2023-03-08T17:10:00+04:00 Dubai,24.421180725097656°C,40.29%
242,2023-03-08T17:15:00+04:00 Dubai,24.421180725097656°C,40.29%
243,2023-03-08T17:20:00+04:00 Dubai,24.421180725097656°C,41.34%
244,2023-03-08T17:25:00+04:00 Dubai,24.421180725097656°C,41.34%
245,2023-03-08T17:30:00+04:00 Dubai,24.421180725097656°C,41.34%
246,2023-03-08T17:35:00+04:00 Dubai,24.421180725097656°C,41.34%
247,2023-03-08T17:40:00+04:00 Dubai,24.421180725097656°C,41.34%
248,2023-03-08T17:45:00+04:00 Dubai,24.272642135620117°C,41.34%
249,2023-03-08T17:50:00+04:00 Dubai,24.272642135620117°C,41.34%
250,2023-03-08T17:55:00+04:00 Dubai,24.272642135620117°C,41.34%
251,2023-03-08T18:00:00+04:00 Dubai,24.272642135620117°C,41.34%
252,2023-03-08T18:05:00+04:00 Dubai,24.12392807006836°C,41.34%
253,2023-03-08T18:10:00+04:00 Dubai,24.12392807006836°C,41.34%
254,2023-03-08T18:15:00+04:00 Dubai,24.12392807006836°C,41.34%
255,2023-03-08T18:20:00+04:00 Dubai,23.973649978637695°C,41.34%
256,2023-03-08T18:25:00+04:00 Dubai,23.973649978637695°C,41.34%
257,2023-03-08T18:30:00+04:00 Dubai,23.973649978637695°C,41.34%
258,2023-03-08T18:35:00+04:00 Dubai,23.973649978637695°C,41.34%
259,2023-03-08T18:40:00+04:00 Dubai,23.973649978637695°C,40.33%
260,2023-03-08T18:45:00+04:00 Dubai,23.973649978637695°C,39.08%
261,2023-03-08T18:50:00+04:00 Dubai,23.973649978637695°C,37.95%
262,2023-03-08T18:55:00+04:00 Dubai,23.973649978637695°C,35.70%
263,2023-03-08T19:00:00+04:00 Dubai,23.973649978637695°C,34.55%
264,2023-03-08T19:05:00+04:00 Dubai,23.973649978637695°C,32.33%
265,2023-03-08T19:10:00+04:00 Dubai,23.824514389038086°C,34.19%
266,2023-03-08T19:15:00+04:00 Dubai,23.824514389038086°C,34.19%
267,2023-03-08T19:20:00+04:00 Dubai,23.824514389038086°C,34.19%
268,2023-03-08T19:25:00+04:00 Dubai,23.824514389038086°C,34.19%
269,2023-03-08T19:30:00+04:00 Dubai,23.824514389038086°C,34.19%
270,2023-03-08T19:35:00+04:00 Dubai,23.824514389038086°C,34.19%
271,2023-03-08T19:40:00+04:00 Dubai,23.824514389038086°C,34.19%
272,2023-03-08T19:45:00+04:00 Dubai,23.824514389038086°C,34.19%
273,2023-03-08T19:50:00+04:00 Dubai,23.675134658813477°C,34.19%
274,2023-03-08T19:55:00+04:00 Dubai,23.675134658813477°C,34.19%
275,2023-03-08T20:00:00+04:00 Dubai,23.675134658813477°C,34.19%
276,2023-03-08T20:05:00+04:00 Dubai,23.675134658813477°C,34.19%
277,2023-03-08T20:10:00+04:00 Dubai,23.675134658813477°C,34.19%
278,2023-03-08T20:15:00+04:00 Dubai,23.675134658813477°C,34.19%
279,2023-03-08T20:20:00+04:00 Dubai,23.675134658813477°C,34.19%
280,2023-03-08T20:25:00+04:00 Dubai,23.675134658813477°C,34.19%
281,2023-03-08T20:30:00+04:00 Dubai,23.675134658813477°C,34.19%
282,2023-03-08T20:35:00+04:00 Dubai,23.675134658813477°C,34.19%
283,2023-03-08T20:40:00+04:00 Dubai,23.675134658813477°C,34.19%
284,2023-03-08T20:45:00+04:00 Dubai,23.675134658813477°C,34.19%
285,2023-03-08T20:50:00+04:00 Dubai,23.675134658813477°C,34.19%
286,2023-03-08T20:55:00+04:00 Dubai,23.675134658813477°C,34.19%
287,2023-03-08T21:00:00+04:00 Dubai,23.675134658813477°C,34.19%
288,2023-03-08T21:05:00+04:00 Dubai,23.675134658813477°C,34.19%
289,2023-03-08T21:10:00+04:00 Dubai,23.675134658813477°C,34.19%
290,2023-03-08T21:15:00+04:00 Dubai,23.675134658813477°C,34.19%
291,2023-03-08T21:20:00+04:00 Dubai,23.675134658813477°C,34.19%
292,2023-03-08T21:25:00+04:00 Dubai,23.675134658813477°C,34.19%
293,2023-03-08T21:30:00+04:00 Dubai,23.675134658813477°C,34.19%
294,2023-03-08T21:35:00+04:00 Dubai,23.675134658813477°C,34.19%
295,2023-03-08T21:40:00+04:00 Dubai,23.675134658813477°C,34.19%
296,2023-03-08T21:45:00+04:00 Dubai,23.675134658813477°C,34.19%
297,2023-03-08T21:50:00+04:00 Dubai,23.675134658813477°C,34.19%
298,2023-03-08T21:55:00+04:00 Dubai,23.675134658813477°C,34.19%
299,2023-03-08T22:00:00+04:00 Dubai,23.675134658813477°C,34.19%
300,2023-03-08T22:05:00+04:00 Dubai,23.675134658813477°C,34.19%
301,2023-03-08T22:10:00+04:00 Dubai,23.675134658813477°C,34.19%
302,2023-03-08T22:15:00+04:00 Dubai,23.675134658813477°C,34.19%
303,2023-03-08T22:20:00+04:00 Dubai,23.675134658813477°C,34.19%
304,2023-03-08T22:25:00+04:00 Dubai,23.675134658813477°C,34.19%
305,2023-03-08T22:30:00+04:00 Dubai,23.675134658813477°C,34.19%
306,2023-03-08T22:35:00+04:00 Dubai,23.675134658813477°C,34.19%
307,2023-03-08T22:40:00+04:00 Dubai,23.824047088623047°C,34.19%
308,2023-03-08T22:45:00+04:00 Dubai,23.824047088623047°C,34.19%
309,2023-03-08T22:50:00+04:00 Dubai,23.824047088623047°C,34.19%
310,2023-03-08T22:55:00+04:00 Dubai,23.824047088623047°C,34.19%
311,2023-03-08T23:00:00+04:00 Dubai,23.824047088623047°C,34.19%
312,2023-03-08T23:05:00+04:00 Dubai,23.824047088623047°C,34.19%
313,2023-03-08T23:10:00+04:00 Dubai,23.824047088623047°C,34.19%
314,2023-03-08T23:15:00+04:00 Dubai,23.824047088623047°C,34.19%
315,2023-03-08T23:20:00+04:00 Dubai,23.824047088623047°C,34.19%
316,2023-03-08T23:25:00+04:00 Dubai,23.824047088623047°C,34.19%
317,2023-03-08T23:30:00+04:00 Dubai,23.824047088623047°C,34.19%
318,2023-03-08T23:35:00+04:00 Dubai,23.824047088623047°C,34.19%
319,2023-03-08T23:40:00+04:00 Dubai,23.824047088623047°C,34.19%
320,2023-03-08T23:45:00+04:00 Dubai,23.824047088623047°C,34.19%
321,2023-03-08T23:50:00+04:00 Dubai,23.824047088623047°C,34.19%
322,2023-03-08T23:55:00+04:00 Dubai,23.824047088623047°C,34.19%
323,2023-03-09T00:00:00+04:00 Dubai,23.824047088623047°C,0%
324,2023-03-09T00:05:00+04:00 Dubai,23.824047088623047°C,6.37%
325,2023-03-09T00:10:00+04:00 Dubai,23.824047088623047°C,23.84%
326,2023-03-09T00:15:00+04:00 Dubai,23.824047088623047°C,27.22%
327,2023-03-09T00:20:00+04:00 Dubai,23.824047088623047°C,29.70%
328,2023-03-09T00:25:00+04:00 Dubai,23.824047088623047°C,31.06%
329,2023-03-09T00:30:00+04:00 Dubai,23.824047088623047°C,32.08%
330,2023-03-09T00:35:00+04:00 Dubai,23.824047088623047°C,33.33%
331,2023-03-09T00:40:00+04:00 Dubai,23.824047088623047°C,34.33%
332,2023-03-09T00:45:00+04:00 Dubai,23.824047088623047°C,35.47%
333,2023-03-09T00:50:00+04:00 Dubai,23.824047088623047°C,35.34%
334,2023-03-09T00:55:00+04:00 Dubai,23.824047088623047°C,35.34%
335,2023-03-09T01:00:00+04:00 Dubai,23.824047088623047°C,35.34%
336,2023-03-09T01:05:00+04:00 Dubai,23.824047088623047°C,35.34%
337,2023-03-09T01:10:00+04:00 Dubai,23.824047088623047°C,35.34%
338,2023-03-09T01:15:00+04:00 Dubai,23.824047088623047°C,35.34%
339,2023-03-09T01:20:00+04:00 Dubai,23.824047088623047°C,35.34%
340,2023-03-09T01:25:00+04:00 Dubai,23.824047088623047°C,35.34%
341,2023-03-09T01:30:00+04:00 Dubai,23.824047088623047°C,35.34%
342,2023-03-09T01:35:00+04:00 Dubai,23.824047088623047°C,35.34%
343,2023-03-09T01:40:00+04:00 Dubai,23.824047088623047°C,35.34%
344,2023-03-09T01:45:00+04:00 Dubai,23.824047088623047°C,35.34%
345,2023-03-09T01:50:00+04:00 Dubai,23.824047088623047°C,35.34%
346,2023-03-09T01:55:00+04:00 Dubai,23.824047088623047°C,35.34%
347,2023-03-09T02:00:00+04:00 Dubai,23.824047088623047°C,35.34%
348,2023-03-09T02:05:00+04:00 Dubai,23.824047088623047°C,35.34%
349,2023-03-09T02:10:00+04:00 Dubai,23.824047088623047°C,35.34%
350,2023-03-09T02:15:00+04:00 Dubai,23.824047088623047°C,35.34%
351,2023-03-09T02:20:00+04:00 Dubai,23.824047088623047°C,35.34%
352,2023-03-09T02:25:00+04:00 Dubai,23.824047088623047°C,35.34%
353,2023-03-09T02:30:00+04:00 Dubai,23.824047088623047°C,35.34%
354,2023-03-09T02:35:00+04:00 Dubai,23.824047088623047°C,35.34%
355,2023-03-09T02:40:00+04:00 Dubai,23.824047088623047°C,35.34%
356,2023-03-09T02:45:00+04:00 Dubai,23.824047088623047°C,35.34%
