ts,DMC Building 1 Data Quality Tests Dup of AHU_04_B1 Return Air Temp
2023-03-08T21:05:00+04:00 Dubai,23.675134658813477°C
2023-03-08T21:10:00+04:00 Dubai,23.675134658813477°C
2023-03-08T21:15:00+04:00 Dubai,23.675134658813477°C
2023-03-08T21:20:00+04:00 Dubai,23.675134658813477°C
2023-03-08T21:25:00+04:00 Dubai,23.675134658813477°C
2023-03-08T21:30:00+04:00 Dubai,23.675134658813477°C
2023-03-08T21:35:00+04:00 Dubai,23.675134658813477°C
2023-03-08T21:40:00+04:00 Dubai,23.675134658813477°C
2023-03-08T21:45:00+04:00 Dubai,23.675134658813477°C
2023-03-08T21:50:00+04:00 Dubai,23.675134658813477°C
2023-03-08T21:55:00+04:00 Dubai,23.675134658813477°C
2023-03-08T22:00:00+04:00 Dubai,23.675134658813477°C
2023-03-08T22:05:00+04:00 Dubai,23.675134658813477°C
2023-03-08T22:10:00+04:00 Dubai,23.675134658813477°C
2023-03-08T22:15:00+04:00 Dubai,23.675134658813477°C
2023-03-08T22:20:00+04:00 Dubai,23.675134658813477°C
2023-03-08T22:25:00+04:00 Dubai,23.675134658813477°C
2023-03-08T22:30:00+04:00 Dubai,23.675134658813477°C
2023-03-08T22:35:00+04:00 Dubai,23.675134658813477°C
2023-03-08T22:40:00+04:00 Dubai,23.824047088623047°C
2023-03-08T22:45:00+04:00 Dubai,23.824047088623047°C
2023-03-08T22:50:00+04:00 Dubai,23.824047088623047°C
2023-03-08T22:55:00+04:00 Dubai,23.824047088623047°C
2023-03-08T23:00:00+04:00 Dubai,23.824047088623047°C
2023-03-08T23:05:00+04:00 Dubai,23.824047088623047°C
2023-03-08T23:10:00+04:00 Dubai,23.824047088623047°C
2023-03-08T23:15:00+04:00 Dubai,23.824047088623047°C
2023-03-08T23:20:00+04:00 Dubai,23.824047088623047°C
2023-03-08T23:25:00+04:00 Dubai,23.824047088623047°C
2023-03-08T23:30:00+04:00 Dubai,23.824047088623047°C
2023-03-08T23:35:00+04:00 Dubai,23.824047088623047°C
2023-03-08T23:40:00+04:00 Dubai,23.824047088623047°C
2023-03-08T23:45:00+04:00 Dubai,23.824047088623047°C
2023-03-08T23:50:00+04:00 Dubai,23.824047088623047°C
2023-03-08T23:55:00+04:00 Dubai,23.824047088623047°C
2023-03-09T00:00:00+04:00 Dubai,23.824047088623047°C
2023-03-09T00:05:00+04:00 Dubai,23.824047088623047°C
2023-03-09T00:10:00+04:00 Dubai,23.824047088623047°C
2023-03-09T00:15:00+04:00 Dubai,23.824047088623047°C
2023-03-09T00:20:00+04:00 Dubai,23.824047088623047°C
2023-03-09T00:25:00+04:00 Dubai,23.824047088623047°C
2023-03-09T00:30:00+04:00 Dubai,23.824047088623047°C
2023-03-09T00:35:00+04:00 Dubai,23.824047088623047°C
2023-03-09T00:40:00+04:00 Dubai,23.824047088623047°C
2023-03-09T00:45:00+04:00 Dubai,23.824047088623047°C
2023-03-09T00:50:00+04:00 Dubai,23.824047088623047°C
2023-03-09T00:55:00+04:00 Dubai,23.824047088623047°C
2023-03-09T01:00:00+04:00 Dubai,23.824047088623047°C
2023-03-09T01:05:00+04:00 Dubai,23.824047088623047°C
2023-03-09T01:10:00+04:00 Dubai,23.824047088623047°C
2023-03-09T01:15:00+04:00 Dubai,23.824047088623047°C
2023-03-09T01:20:00+04:00 Dubai,23.824047088623047°C
